Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG_Mainboard\.\Pick Place\Pick Place for backup.csv

========================================================================================================================
File Design Information:

Date:       19/03/26
Time:       18:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R19","AF0201JR-071ML","TopLayer","ERA1A_(0201)","175.9222","41.1538","90","Resistor 1M"
"R18","RC0201JR-075K1L","TopLayer","RESC0603X26N","159.5750","40.4250","0","Resistor 5.1k"
"R16","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","49.5348","180","Resistor 10k"
"R17","RC0201JR-075K1L","TopLayer","RESC0603X26N","159.5750","39.3500","0","Resistor 5.1k"
"R15","AF0201JR-071ML","TopLayer","ERA1A_(0201)","176.6588","41.1538","270","Resistor 1M"
"R14","ERA1AEB103C","TopLayer","ERA1A_(0201)","149.4536","56.0070","270","Resistor 10k"
"R13","ERA1AEB103C","TopLayer","ERA1A_(0201)","153.5430","56.1086","270","Resistor 10k"
"R12","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","53.0292","270","Resistor 10k"
"R11","AF0201JR-071ML","TopLayer","ERA1A_(0201)","175.9222","39.8584","270","Resistor 1M"
"R10","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5500","46.8000","270","Resistor 10k"
"R9","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","48.0250","90","Resistor 10k"
"R8","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","49.2700","270","Resistor 10k"
"R7","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","50.5400","90","Resistor 10k"
"R6","RC0201FR-071K8L","TopLayer","0201_GENERIC_RES","171.1724","37.7756","180","Resistor 1.8k"
"R5","AF0201JR-071ML","TopLayer","ERA1A_(0201)","164.3942","40.8226","0","Resistor 1M"
"R4","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","51.7846","90","Resistor 10k"
"R3","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.5250","54.3500","270","Resistor 10k"
"R2","RC0201FR-071K8L","TopLayer","RESC0603X26N","160.6804","34.7218","270","Resistor 1.8k"
"R1","ERA1AEB103C","TopLayer","ERA1A_(0201)","161.7980","33.0200","0","Resistor 10k"
"Q1","DMN31D5UFZ-7B","TopLayer","X2-DFN0606-3","167.0558","32.5033","270","MOSFET (N-Channel)"
"LED1","APG0603SEC-E-TT","TopLayer","APG0603SECETT","166.7002","30.8388","270","LED"
"L8","DFE18SAN1R0MG0L","TopLayer","INDC1608X100N","160.3248","32.2072","90","Inductor"
"L7","L-07C2N7SV6T","TopLayer","INDC1005X60N","175.7500","32.3500","0","Inductor"
"L6","L-07C3N3SV6T","TopLayer","INDC1005X60N","176.1000","31.1500","270","Inductor"
"L5","LQP03HQ3N5B02","TopLayer","LQP03HQ2N7B02","172.1500","35.3750","270","Inductor, 3.5nH, 500mA, ±0.1nH, 170mOhm"
"L4","LQP03HQ3N5B02","TopLayer","LQP03HQ2N7B02","172.1500","37.2250","270","Inductor, 3.5nH, 500mA, ±0.1nH, 170mOhm"
"L3","LQP03HQ2N7B02","TopLayer","LQP03HQ2N7B02","172.1500","38.4500","270","Inductor, 2.7nH, 600mA, ±0.1nH, 120mOhm"
"L2","MLZ1608M4R7WT000","TopLayer","MLZ1608M4R7WT000","176.4538","43.4340","270","Inductor, 120mA, ±20%, 0.65R"
"L1","MBKK1608T2R2M","TopLayer","MBKK1608T1R0M","167.1750","37.6500","270","Inductor"
"J4","S2B-PH-SM4-TB_LF__SN_","TopLayer","S2BPHSM4TBLFSN","154.5844","30.1946","180","Connector"
"J1","10FHH-SM1-GAN-TF_LF__SN_","TopLayer","10FHHSM1GANTFLFSN","174.1400","52.2000","90","Connector"
"IC4","TPS61023DRLR","TopLayer","SOTFL50P160X60-6N","162.3314","31.4706","180","Integrated Circuit"
"IC3","TPD4E1B06DRLR","TopLayer","SOTFL50P160X60-6N","157.3500","39.8750","180","Integrated Circuit"
"IC2","NPM1100-QDAA-R7","TopLayer","QFN50P400X400X90-25N-D","163.7230","36.0868","270","Integrated Circuit"
"IC1","ADS1299IPAG","TopLayer","QFP50P1200X1200X120-64N","161.6026","48.8182","180","Integrated Circuit"
"FB1","BLM03AX121SN1D","TopLayer","BLM03AX121SN1D","177.4190","41.7322","270","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"F2","0402L050SL","TopLayer","0402L010SLKR","157.2260","35.4584","0","Resettable Fuse"
"F1","0402L050SL","TopLayer","0402L010SLKR","167.5130","33.6296","180","Resettable Fuse"
"D1","ESDALC8-1BF4","TopLayer","ESDALC81BF4","158.2000","37.3750","270","Diode ESD (Bi-directional)"
"C47","GRM158R61A226ME15D","TopLayer","GRM15X","160.3248","30.1752","0","Capacitor 22uF 0402"
"C46","GRM158R61A226ME15D","TopLayer","GRM15X","164.5412","30.9626","180","Capacitor 22uF 0402"
"C45","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","159.4612","37.1348","180","Capacitor 1uF 0201"
"C44","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","159.4358","34.3154","0","Capacitor 1uF 0201"
"C43","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","151.8920","53.7464","180","Capacitor 0.1uF 0201"
"C42","CL05A106MQ5NUNC","TopLayer","CAPC1005X70N","151.7904","52.8320","180","Capacitor 10uF 0402 6.3V"
"C41","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7376","53.3872","90","Capacitor 220pF"
"C40","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7376","52.0240","270","Capacitor 220pF"
"C39","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7376","50.7540","90","Capacitor 220pF"
"C38","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7376","49.4332","270","Capacitor 220pF"
"C37","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7376","48.1124","90","Capacitor 220pF"
"C36","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7500","46.6880","270","Capacitor 220pF"
"C35","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","154.1834","45.0536","180","Capacitor 0.1uF 0201"
"C34","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","157.8918","41.6754","180","Capacitor 1uF 0201"
"C33","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","157.3750","37.4000","270","Capacitor 0.1uF 0201"
"C32","GRM035R61C225ME01D","TopLayer","GRM033D70J224ME01D","156.5500","37.3750","270","Capacitor 2.2uF 0201"
"C31","GRM0335C1H221FA01D","TopLayer","0201_GENERIC_CAP","171.1706","38.4302","0","Chip Cap 0201"
"C30","GRM033R71A222KA01D","TopLayer","0201_GENERIC_CAP","173.5250","38.2250","90","Capacitor, X7R, ±10%, 10V 2.2nF"
"C29","GRM033R70J103KA01D","TopLayer","0201_GENERIC_CAP","177.3954","39.8584","90","Capacitor, 10nF"
"C28","GRM035R61C225ME01D","TopLayer","0201_GENERIC_CAP","176.6842","39.8584","90","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C27","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","160.1016","41.7116","180","Capacitor 1uF 0201"
"C26","GRM0335C1H102GE01D","TopLayer","GRM033D70J224ME01D","164.4112","41.6354","180","Capacitor 1nF"
"C21","500R07S1R2BV4T","TopLayer","CAP_500R07S1R2BV4T_JOT","176.0250","33.4500","90","Description"
"C25","GJM0335C1HR30WB01D","TopLayer","0201_GENERIC_CAP","171.9000","34.4500","0","Capacitor, C0G, ±0.1pF, 50V"
"C24","GJM0335C1E2R0WB01","TopLayer","0201_GENERIC_CAP","171.9000","36.3000","0","Capacitor, 2pF, NP0, ±0.05pF, 25V"
"C23","GJM0335C1E1R5WB01","TopLayer","0201_GENERIC_CAP","172.8216","38.4048","270","Capacitor, 1.5pF, NP0, ±0.05pF, 25V, High Q"
"C22","GRM035R61C225ME01D","TopLayer","0201_GENERIC_CAP","177.4190","43.1038","270","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C20","CL05A106MQ5NUNC","TopLayer","CAPC1005X70N","162.5908","56.8500","0","Capacitor 10uF 0402 6.3V"
"C19","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","162.3622","55.9102","0","Capacitor 0.1uF 0201"
"C18","GRM035R61C225ME01D","TopLayer","GRM033D70J224ME01D","163.0172","32.9438","180","Capacitor 2.2uF 0201"
"C17","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","161.2192","56.2658","90","Capacitor 1uF 0201"
"C16","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","161.5748","40.9750","0","Capacitor 1uF 0201"
"C15","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","161.5748","41.7116","0","Capacitor 0.1uF 0201"
"C14","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","157.5362","56.2804","90","Capacitor 1uF 0201"
"C13","CL21A107MQYNNWE","TopLayer","CAPC2012X145N","159.4104","56.4896","180","Capacitor 100uF"
"C12","GRM158R61A226ME15D","TopLayer","GRM15X","164.4904","39.2938","0","Capacitor 22uF 0402"
"C11","GRM033R6YA104KE14D","TopLayer","0201_GENERIC_CAP","175.8968","45.5734","90","Capacitor, X7R, ±10% 0201"
"C10","CL05A106MQ5NUNC","TopLayer","0402_GENERIC_CAP","176.7604","45.9798","270","Capacitor 10uF 0402 6.3V"
"C9","GRM033R6YA104KE14D","TopLayer","0201_GENERIC_CAP","170.3578","46.6344","180","Capacitor, X7R, ±10%"
"C8","GRM033R6YA104KE14D","TopLayer","0201_GENERIC_CAP","175.9500","38.8250","0","Capacitor, X7R, ±10%"
"C7","GRM033R6YA104KE14D","TopLayer","0201_GENERIC_CAP","167.8686","41.0718","270","Capacitor, X7R, ±10%"
"C6","CL05A106MQ5NUNC","TopLayer","CAPC1005X70N","167.3250","35.8500","0","Capacitor 10uF 0402 6.3V"
"C5","CL05A106MQ5NUNC","TopLayer","CAPC1005X70N","164.5920","32.0548","0","Capacitor 10uF 0402 6.3V"
"C4","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","164.4396","32.9184","0","Capacitor 0.1uF 0201"
"C3","GRM035R61C225ME01D","TopLayer","GRM033D70J224ME01D","165.9382","32.7152","270","Capacitor 2.2uF 0201"
"C2","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","164.2926","56.6976","180","Capacitor 1uF 0201"
"C1","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","163.8608","55.9102","180","Capacitor 0.1uF 0201"
"ANT1","2450AT18B100","TopLayer","ANTC3216X140N","176.1000","27.7000","270","Antenna"
