Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG\.\Pick Place\Pick Place for EEG_Electrodesv2.csv

========================================================================================================================
File Design Information:

Date:       17/03/26
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2A","ERA-1AEB101C","TopLayer","ERA1A_(0201)","45.1618","74.3918","45","Resistor 100 ohms"
"R1G","ERA-1AEB101C","TopLayer","ERA1A_(0201)","155.9986","9.5817","60","Resistor 100 ohms"
"R1F","ERA-1AEB101C","TopLayer","ERA1A_(0201)","132.6742","18.0202","68","Resistor 100 ohms"
"R1E","ERA-1AEB101C","TopLayer","ERA1A_(0201)","131.7654","95.6240","90","Resistor 100 ohms"
"R1D","ERA-1AEB101C","TopLayer","ERA1A_(0201)","91.9398","113.7355","35","Resistor 100 ohms"
"R1C","ERA-1AEB101C","TopLayer","ERA1A_(0201)","73.9516","116.0646","110","Resistor 100 ohms"
"R1B","ERA-1AEB101C","TopLayer","ERA1A_(0201)","58.8208","112.9677","320","Resistor 100 ohms"
"R1A","ERA-1AEB101C","TopLayer","ERA1A_(0201)","49.5323","68.3591","45","Resistor 100 ohms"
"J1","10FHH-SM1-GAN-TF FPC","TopLayer","10FHH-SM1-GAN-TF_FPC","33.1470","103.7550","90",""
"IC1G","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","153.4570","12.5768","150","Integrated Circuit"
"IC1F","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","129.7405","20.6324","158","Integrated Circuit"
"IC1E","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","128.0668","96.9470","180","Integrated Circuit"
"IC1D","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","90.9021","117.5240","125","Integrated Circuit"
"IC1C","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","70.0235","116.0429","200","Integrated Circuit"
"IC1B","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","62.2117","114.9506","50","Integrated Circuit"
"IC1A","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","47.8525","71.9099","135","Integrated Circuit"
"D1","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","48.4500","97.3328","0","TVS Diode (Bi-directional)"
"D2G","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","156.9318","11.1981","240","TVS Diode (Bi-directional)"
"D2F","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","133.3733","19.7507","248","TVS Diode (Bi-directional)"
"D2E","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","131.7654","97.4904","270","TVS Diode (Bi-directional)"
"D2D","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","93.4686","114.8060","215","TVS Diode (Bi-directional)"
"D2C","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","73.3132","117.8185","290","TVS Diode (Bi-directional)"
"D2B","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","60.2505","111.7680","140","TVS Diode (Bi-directional)"
"D2A","ESD108B1CSP0201XTSA1","TopLayer","ESD108B1CSP0201XTSA1","50.8520","69.6788","225","TVS Diode (Bi-directional)"
"C1G","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","149.5171","13.0679","240","Capacitor 0.1uF 0201"
"C1F","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","125.7706","20.5704","248","Capacitor 0.1uF 0201"
"C1E","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","124.4092","95.4024","270","Capacitor 0.1uF 0201"
"C1D","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","87.5389","119.6342","215","Capacitor 0.1uF 0201"
"C1C","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","67.1148","113.3404","290","Capacitor 0.1uF 0201"
"C1B","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","63.3795","118.7453","140","Capacitor 0.1uF 0201"
"C1A","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","44.8818","71.7804","135","Capacitor 0.1uF 0201"
"E8","EEG_Electrode","TopLayer","EEG_Electrode","48.3108","89.7636","0","EEG_Electrode"
